q,a
This Jamaican music style was popularized by Bob Marley.,What is reggae?
This sport is known as 'the beautiful game'.,What is soccer?
This track star is known as the fastest man alive with multiple Olympic golds.,Who is Usain Bolt?
This MLB team is nicknamed the 'Bronx Bombers'.,Who are the New York Yankees?
This basketball legend is known for 'The Last Dance' with the Bulls.,Who is Michael Jordan?
This is the oldest tennis tournament in the world.,What is Wimbledon?
This country hosted the 2008 Summer Olympics in Beijing.,What is China?
This position in American football often throws passes and leads the offense.,What is the quarterback?
"This Olympic sport combines fencing, swimming, equestrian, shooting, and running.",What is the modern pentathlon?
He painted the 'Mona Lisa'.,Who is Leonardo da Vinci?
This Spanish artist is famous for 'Guernica'.,Who is Pablo Picasso?
"This style uses small dots of color to form images, as in Seurat’s works.",What is pointillism?
This building in Paris houses the 'Mona Lisa' and 'Venus de Milo'.,What is the Louvre?
She was a Mexican painter known for self-portraits and flowers in her hair.,Who is Frida Kahlo?
This company created the iPhone.,What is Apple?
This programming language shares its name with a type of coffee.,What is Java?
This markup language structures content on the web.,What is HTML?
This open-source operating system mascot is a penguin named Tux.,What is Linux?
"This algorithmic technique divides and conquers, as in quicksort and mergesort.",What is divide and conquer?
This term describes a network of physical objects embedded with sensors and software.,What is the Internet of Things?
This field of AI trains multi-layered models to learn representations.,What is deep learning?
This number system uses only zeros and ones.,What is binary?
This Italian dish consists of rice cooked in broth until creamy.,What is risotto?
This spice from the crocus flower is the world's most expensive by weight.,What is saffron?
This Japanese dish consists of vinegared rice often topped with raw fish.,What is sushi?
This legume is mashed to make hummus.,What are chickpeas?
This French pastry has many layers and a flaky texture; it's often crescent-shaped.,What is a croissant?
"This Mexican dish is a filled tortilla, folded and grilled, often with cheese.",What is a quesadilla?
This billionaire founded Microsoft with Paul Allen.,Who is Bill Gates?
This term describes a market with a single seller dominating.,What is a monopoly?
This cryptocurrency launched in 2009 by a person or group named Satoshi Nakamoto.,What is Bitcoin?
This index of 30 large U.S. companies is often called the 'Dow'.,What is the Dow Jones Industrial Average?
This business strategy term means a unique advantage that's hard to copy.,What is a moat?
This punctuation mark indicates possession or a contraction.,What is the apostrophe?
This figure of speech gives human qualities to nonhuman things.,What is personification?
This part of speech describes a noun or pronoun.,What is an adjective?
This punctuation ends a direct question.,What is a question mark?
"The words 'their', 'there', and 'they’re' are examples of these sound‑alike terms.",What are homophones?
